audio,transcript
test_sample_1304_clean,قالها ده بتاع الصعيد اللي أنهاك قالتله ده ما بيحبني طبعا إحنا في المعركه كلنا معع بعض كله كله في الإذاعه مقيش قالتله لأ ده مبيحبنيش
test_sample_3188_noisy,كنا قاعدين عل مكاتب و أعمل حسابك إن انت أول سنه لازم تتبهدل فيها إيه المشكله إن أنا أبهدل في سبير انيأنا يبق معايا قامه وشغال برضو وعايش كويس خلينا بق نروح نقعد في مكان و و هو أركوا بق إيه الورقه دي أصورهالكوا
test_sample_1434_clean, تمام
test_sample_3264_noisy,أول شارع يمين بعد الشارع ده عل طول بعد الشارع ده عل طول بيجيلك محل ملقبس أهو بعد م حل الملابس مباشر يجيلك المكتباح
test_sample_1672_clean,عند
test_sample_3518_noisy,فاتوا سمعتها في حياتها كانت ي
test_sample_3269_noisy,تمام هقول لصاحك مثلا إن أنا بشكري ده إيه أنا هبعتلك كل شهر متنين و تلاتين يورو و هبعتلك مين تي يوم يبق هبعتلك تلتميه و تلاتين بدل متنين و تلاتين
test_sample_1466_clean,عشان اسمه علسالمر
test_sample_3375_noisy,بسرع نفس روقت بق ألف جنيه
test_sample_3093_noisy,الظرف الأكيدي بس إن القرود تمام
test_sample_3080_noisy,يا حدي الله عليك يا أوبر يعيش
test_sample_3160_noisy,عشان نعمل ننا يضرباط لأن طبعا معظم إن عارفين معظم الأمراض كتير من إيه نفران سلما نيلل جدري أرف
test_sample_3914_noisy,فإحنا لنقلنا الكوبيتين من المكان إن في ناس
test_sample_3539_noisy,د بيضحك بيضحكي يه بعتشي لا ما خلصو
test_sample_3797_noisy,ل النهارده ما شاء الله سوء انتكات شويه
test_sample_3852_noisy, و أنا هقولك تروح إزاي طيب عموما أنا مستني البواص خليني أقولكوا إيه ال ال ال الخدمات اللي ممكن يقدمهالك مكتب الكميدريشن  اللي هي الجمعيه خلينا نقول المعيه عشان يبق كلام سهل ليك
test_sample_1301_clean,هي أطياف أطياف ساعات أكير لشخصيات عديده
test_sample_1062_clean,وأكترضيك بتحبه عشان مسميها عل إسما
test_sample_3441_noisy,حت إن ه يفتح مطعم إنت نفسك تقدر تسح نع
test_sample_2981_noisy,يعني في ناس في ناس يعني 
test_sample_1472_clean,أ يعني سمع يعني دي أنا
test_sample_3711_noisy,
test_sample_1499_clean,ألف مبروح أن الفرحه مسيعان وحاسس جلبي هيوقف من الفرح
test_sample_2946_noisy,كام عملوا د
test_sample_2983_noisy, الأماكن دي بتبق في مرض مونيش بتلحف إنتنتنتل بتبق عنجوز ف الحفر رايز بتبق ف يعني دي أكتر أماكن بيجمعها فيها  العرب و مكانتب اللي بكعمل النس اللي قولت قبل كده
test_sample_1151_clean,إنت فدانين إ وأنا فدانين
test_sample_3561_noisy, يا رب أكون بقدر إن أنا حفتكم وصامحوني لو الفديوده تنطول شويه سناس بق بالدعاء بوللايت عشان الناس اسفاد و إنتو أحل أخود ف التاني
test_sample_2970_noisy,تحهي
test_sample_3596_noisy,مها هو ده اللي إنت فلح فيه
test_sample_3821_noisy,إحنا رستين الاتني
test_sample_3437_noisy,دفدعله عنتو كلم
test_sample_1282_clean,لاجت برضو
test_sample_3349_noisy,تيجي ف
test_sample_1535_clean,هنبحو نعبلالم
test_sample_988_clean,و و أنا عل المستو الشخصي يعني بحب برنامج حضرتك فطبعا كانت أغلبي تعليقات عل الفيديوهات إنه أول ظهوري كليه مع الأستاذه من
test_sample_1632_clean,الناس الناس جاعت وارا جيبد كويس فجابل جوع الناس بيني بيني بيني وبين حضر تكياه سياد الريس كلامه
test_sample_1236_clean,هو مين هيسيبك تعمل كده إفتح الخريطه ويعني وإتفرج مع يا
test_sample_1086_clean,ريتعون الفدنه اللي اشتلتهم من أبويا بسدحك العمليه و بكده يا بن العمل ي وجعت علك ببخمسمي ألف بس
test_sample_1157_clean,و الله يعني حاجه غريبه يعني يعني في حاجات في حاجات لازم الناس يعني تبجع
test_sample_3159_noisy,طب  شير فصب ل ل في  مش عارف منتخر
test_sample_1146_clean,فإنما هيه مديشيكي
test_sample_3567_noisy,
test_sample_3696_noisy,نا تستحيق الصياح و إنت أساسا يعني أحط نفسك مجانه أو حط نفسك أنا أنا فكرت في كده فبقولك وإنت حر
test_sample_3480_noisy,أجورهم إيه وتونيا معاهم إيه وش هل في شغله لا أو اللي هو هل في شغله و لا لأ و لازم نغر و لا لأ والمرتبيات عايزين نعرفها بشكل عام يعني دي الأسله اللي اتسألتلي في الفيديو اللي فات أنا هجوب عليها من لميديي لو إنت مهتم استناني بعد الفاصل
test_sample_1123_clean,ربنا يعفيك ربنا يرحبك من إن لدول يحدث معاك بنيعفيكم جميعا من من من الجهور بهذه ل تجربه لكن ما هو لما ربنا ولله المثل الأعل
test_sample_1625_clean,ربنا يوفدك يا بتر إنتي وللي زيك جدريا كريم مع السلام
test_sample_3119_noisy,بططبعا بس
test_sample_1525_clean,بنعت بنتي من عمرك بتك ربنعت من أما وصغيرين
test_sample_1291_clean,با
test_sample_1015_clean,وإحنا مفكينا عل كل شروط كدكتوره
test_sample_3365_noisy,حلوه يعني لب
test_sample_1648_clean,محصوبه عل كل الشعب المصري
test_sample_3867_noisy,إن أنا خايفلا
test_sample_1518_clean,لينا سبعت كد الجم
test_sample_1378_clean,طبعا طبعا أه يعني بتعدي جنبه مراتي مشوفهاش
test_sample_1409_clean,وطلاعهم وهي طلعوا
test_sample_1350_clean,أه يجول يجول إن إن إن عدي إذا حمد و واسترجع إبن مله بيتل واسمه بيت الحمد ده إيه ده يعني يعني يعني دعيده
test_sample_3097_noisy,طب ونا يه قفلي كده هنا سلام عليك يا سيد
test_sample_3628_noisy,
test_sample_3291_noisy,
test_sample_1247_clean,ما تجوم لجيها مصديه
test_sample_3908_noisy,المننطج هي تعمل إيه
test_sample_1171_clean,سامحيني يا بتي
test_sample_3170_noisy,سبب إن إنت بتكرأ المكان كله مبتقدرش ترب حمام وبتزاع من الحمام وبتسيبي الحمال
test_sample_2957_noisy,أنا بتشجع بس ولات بلدي بس أحب أشجع بس وبات بلدي
test_sample_3861_noisy,كيسلاك إي سعيدها ووا
test_sample_1225_clean,إنت ملدش علك إنك تطلعطيه نعم ب جوم المعرضه
test_sample_3406_noisy,
test_sample_1085_clean,أه أه ده ي بق بيسألك كن في كل جمله و وبيخليك تبول الجسيده من أوالها و بيسيب الحاجات دي ونقعد
test_sample_3466_noisy,طبعا كل عليه ف تعالوا ناكل بق ذا نبدأ بالنقطه ل اللي كايفت الفول بس اللي هيفهموهاد
test_sample_3638_noisy,حضرتك بتتكلم عل مينا و بتاع يعني
test_sample_1388_clean,طلب و اتخدا الطلب ويتبصلوا بعد طب طب الطب إيه الجديد يعني يعني يعني إنت إنت شوفت إيه من قصول اثقافه في مصر في الوكت الحالي
test_sample_1582_clean,هي ثبق الكبريتا القول
test_sample_1370_clean,والله يوالدي نتفهمينا الرجاله غلط
test_sample_1089_clean,مصر
test_sample_3546_noisy, و خلبنيك هيودي عصم ياحرم ي الأم اللي جابتها
test_sample_1051_clean,كانت معاها ناس في الفكره يعني وثابت
test_sample_3597_noisy,الرف 
test_sample_2943_noisy,بالنسبال لتورف عله كله ويتصل عل طول بقال حاجه عندي عل
test_sample_1542_clean,وجل ف مكملين و وجل في آخر المحري ففت توراه وجال في تلات خلفاه جال زمان أه أيامم مكنش حد بيجول ولا انتو
test_sample_1185_clean,يا بني دم ده مسميه عل اسمي
test_sample_1115_clean,أحرلق في الدوني أحرنفي الدو
test_sample_3520_noisy,حم
test_sample_3210_noisy,إنت ريش بيكينج
test_sample_3013_noisy,ونجيبونا إن إحنا شفنا الجرده الغريبه
test_sample_1219_clean,حصلته في في برنامج تليفزيوني في بتاع أتحاس
test_sample_3360_noisy,س
test_sample_3482_noisy,و الجوبه الترني في د إحنا هل
test_sample_1588_clean,معايزين عسح إبجهازي خميس
test_sample_3255_noisy,
test_sample_3698_noisy,نعم
test_sample_1691_clean,لأ مف عي
test_sample_3523_noisy,بلا  مش عارف اللده أنا عل هوا كلام
test_sample_1246_clean,دهساشيشي أه لأ نا شيفش لا حاجه تانيه نا ش و المصوفين وعملنا خلانا عمال مظابع د هو عنا ضنضو ده رأيك هو عمال ما طرع و أناد راسي من الولاته متضر نها مكنش عندنا مظرع الأول عملنا من ضارع المظاعه كالت إتلنا دول و ما يقول  ا لا دول عاملين م زارح تيملن سوي إم عشان نشالحنات اللي هي بتاع فايطر لأل ولفه عندنا الحقياه البريه للديانا
test_sample_1167_clean,
test_sample_3592_noisy,دخلت الوقت الأصرغير
test_sample_3200_noisy,أولا يبق البنا عل علب بعض اللاعيبه بق كلها عيد واحده هي تسعين 
test_sample_1037_clean,بعد في بعجماغقر من الطن ما خرطعت إم وبعد ما نصيبوا يعني إيه بعض الوهن إم اللي ممكن يزن يعني إيه بدخولنا عل
test_sample_3335_noisy,إنت تاريخ تعييني إنت اشتغلت في الشركه ديت وإن أنا ما زلت عل رقص عمل
test_sample_1435_clean,ولدخوه م ريب العن بماله ججارب بقانه
test_sample_3521_noisy,دكتور يامام اللي كان عرالم ده بتاعتي النهارده بجتتصرفي
test_sample_1598_clean,لأنه حضرتك دولا يعني إنت متعرفيه السته السعديه اللي هي لما تكون جوزها تعباه يا أستاذ مونه
test_sample_2975_noisy,كان عنده متحل مفاج وكذا
test_sample_1197_clean,
test_sample_3039_noisy,محمود
test_sample_3703_noisy,ده أقل شيء تاخده لكن في أعل طبعا إن إنت تقدر تشتغل في شركه كويسه فالراتب بتاعك يكون قاعل عل حسب خبرتك برضو كده تمام ده بالنسبه للمرتبات عشان الناس اللي كان سألتني عل المرتبات لو حد إبتدت أقل من كده فده يبق حد نصاب طبعا لأن مفيش هنا عتبر حدق تي أقل من كده هو ده الراتب اللي هو لحد الأبنه طبع الدوله يعني
test_sample_3481_noisy,بلكيشنس م
test_sample_3028_noisy,أع
test_sample_1679_clean,وأنا الغان دي يول لعنم كلثوم فيكو
test_sample_1633_clean,هما لاحوا داربينم
test_sample_3327_noisy,لو المزانيه برضو أقل من ربع مليون نعمل إيه تبص أنا معاكي للآخر إن شاء الله بس لو ميزاميتك تكف حاجه من اللي أنا قولتهم دول حاول مكملش الفيديو عل قد ما تقدرو تبص لو لميزانيه عندك أقل من ربع مليون فبولنده بتاخد أقل كشف حساب بنكي في أوروبا كلها
test_sample_1522_clean,قالي عندك خبر طيب كده إن شاء الله فست م كلفيهم
test_sample_3073_noisy,
test_sample_3853_noisy,م بتاع المثل
test_sample_1334_clean,وا أنا عندي إحساس لو ماتي تلدقيخ خميس
test_sample_1019_clean,و الله مصر فيها خمسه و ستين دكتور بين العمليه دي الدكتوره الليه مش بكرهوحنا دع
test_sample_3893_noisy,و بكده خلصت مغامر النهارده وأشوفكم في مغمره جديده إن شاء الله سلامو عليكم
test_sample_1221_clean,
test_sample_1162_clean,يعني
test_sample_3425_noisy,ك
test_sample_3874_noisy,يعني بقتش سوع سفير بق النهارده 
test_sample_3801_noisy,الأصوال يا سلام أنا أحب أصل أنا
test_sample_3248_noisy,عالب علب أنا بتاح إيه
test_sample_1526_clean,لو سمحت حله
test_sample_3305_noisy, أنا لقط البطاطس أقولكوا عل حاجه
test_sample_3898_noisy,إلنتاك في الاخر للأسف مش هقدر أكمل يعني أوراه أطمط كوي
test_sample_1694_clean,كوتشاد ناشير ور أه
test_sample_3309_noisy,خلاص خلاص
test_sample_1405_clean,يا ابني لا هاجمعا
test_sample_2930_noisy,حشي الجارح بقولنا الدكتور يقعد 
test_sample_1098_clean,ن مش هطلع بره
test_sample_3216_noisy,وبتاخد قرق يعني الموضوع عل بع محتاج بس فن ومحتاج حاجات عشان نتكلم في حاجات في حاجات كتير
test_sample_1676_clean,عشان العامل النفسي مهم في نجاح العمليات الميزايديه
test_sample_3573_noisy,خدمات الأجانب في دار الهجر
test_sample_1279_clean,طع
test_sample_3112_noisy,
test_sample_1408_clean,وأعلمو أن ل قدلا سألتاه سألقاهو وقد علمت في سغري بأن علوب شرف
test_sample_1494_clean,تاري من جعاد أنا كنت حبهما خلص أبقجامنه إم هي يعني أنا غشها أفتح
test_sample_3609_noisy,إيم وصلنه بقدص
test_sample_1357_clean,وقيبه الجواج دي
test_sample_3524_noisy,فتحت الأحلام يعني إيه فتتح أحلا
test_sample_3295_noisy,بشوفت هو ده اللي برضو
test_sample_1101_clean,أعار في البنات الحلوه دي هل جدها مجن
test_sample_3924_noisy,فندو ف روما خمس تيام قالوا الكلام برضو من عل البرنامج اللي هو اللي بوك تقدر تحجز عليه ومبتدفعش فلوس مبتنلفعوش في الفلوس الحبوزات يا جماعه تمام أنا عملت كده
test_sample_1461_clean,خمسه و عشرين
test_sample_3735_noisy,فإذا لناس النهارده مزاع الجندي أمل حسابكه مش موجود تمام ده كده اللي حاصل في السوق بالبالتفاصيل يعني
test_sample_3105_noisy,لأ ممكن أجيب قديم عل الدين
test_sample_2951_noisy,يا حبيبي نعمل إيه عشان أو نعمل إيه المخ مبتكر أو إختراع عشان المتخب بيكسب بعد كده
test_sample_1188_clean,وده في السعر
test_sample_1034_clean,الخميس العريس
test_sample_3234_noisy,ف
test_sample_3027_noisy,ورينن
test_sample_3034_noisy,ما مأصتدوش حاجه بق
test_sample_1048_clean,ت
test_sample_3880_noisy,ماأنا ورقي تمام الشند
test_sample_1655_clean,
test_sample_3639_noisy,
test_sample_3035_noisy,بيتن بالظبط تكون وصلت فيك عندنا بق إيه جنب البيت اللصفر هيجيلك أول شارع يمين أو
test_sample_3838_noisy,س
test_sample_3137_noisy,
test_sample_1503_clean,وياخد عشره معاه مصطف ماالآلب بهيطلع علها
test_sample_977_clean,لا يمكن أسمح بحاجه زي كده أما كلثوم لما تكون عايزه أتغني نككي لأم كلتفوم
test_sample_1684_clean,وعرفت كل حاجه
test_sample_978_clean,أه ده جيب خلطه من الصيدليه بسبعه و عشرين جنيه 
test_sample_3420_noisy,عمحتاجه محتاجه تفاصيل كل حاجه محتاج تفصيل ولك أنا مش عاوزه أطول عليه ما أنا كنت عاوزه أرد عل أسله
test_sample_1377_clean, متسألنيش بق هو أنس خالصلا لا لا لا هو  الإنسان كده أنا اللي حباسلي مسول السياسي في الحزب
test_sample_1341_clean,قوليه أنا بعت خمين
test_sample_3428_noisy,اللي تقدر تقدم فيه الأوراق ويقدروا يساعدوه ويعملولك ي حاجات كتير
test_sample_3549_noisy,
test_sample_3487_noisy,تم قدمنا 
test_sample_3912_noisy,ربنا بس الدنيا عمرو كلتيني لاتي أول حاجه أفكر فيها أروح للحد بإذن الله
test_sample_3758_noisy,
test_sample_3873_noisy,أنا عل
test_sample_1626_clean,لأ مش حضرتك هي مسمعش يعني أنا مسمعش كليه هي اسمها كوميديا ساخر
test_sample_1394_clean,وخدي بالك إم أنا يعني أنا بقر الآن
test_sample_3564_noisy,بس
test_sample_1136_clean,زي ما أسقت يعني ال اللي يسقط حسن مبارك يا أستاذ وال اللي يثبت حسني مبارك نسق الجن بلزرق لكن لكن
test_sample_3709_noisy,لتتح لمك قالتلك أنا مش هعطبير بيك عشان أنتصلساج هتقولها إيه
test_sample_2968_noisy,هملعش دق ا اتنين بيعشبوا بعض
test_sample_3025_noisy, أيوه يا جماعه ده بالنسبه للمرتبات اللي إحنا إتكلمنا فيها وبالنسبه لللغه تمام إحنا هنتكلم دلوقتي في الصناعيه و العمال يعني في حد كان سألني عل الصناعيه و العمال هل ليهم شغله و لا ملهمش هي عامله زي مصر كده عامله زي سوريا عمله زي لإبنان عامله زي كل الدول العالم يعني م فيش دوله من غير صناعيه الصنايات اللي هما عمود البلد
test_sample_3338_noisy,
test_sample_1088_clean,وحصل يوم التلات والحفله يوم الجمعه في ذاكر طلران الخميس والحفلهه القمعه واتعرف الخبر عل الفيس إن أه حصل  فكلمني المهندس إمام يوسف
test_sample_3530_noisy,عل البره ربنا عندي باللي فين خريم كده ودعونا إن شاء الله
test_sample_1534_clean,السنب بلي شنه بنت تاخد طره لكن عليك طار ميه توج عمك مي برش أنا بق أ
test_sample_1029_clean,و أنا هكله برشاء مصداع ونشوف هنصدك من فينا
test_sample_3166_noisy,
test_sample_1573_clean,
test_sample_3289_noisy,إنجليزي فرنساور عسباني الطال الروسي
test_sample_1540_clean,و كان ليه حس إنساني خفي
test_sample_3465_noisy, جمانه يا جم
test_sample_1319_clean,مصيف يارشيامي يا ركل إل تول دلق يا سلام لتن تا لواحد ينبسر أما كلرك عليه نولا زمالك و كان دمان وعماله زمان دلا  تي حايه خيصه باسمها دين فلوس يعني كاي كل الإضرات الل حنه ل  سبع سعات سماو مستمه لينا شاعت ق الجس ل شي اس أه ن امنضضه ليك أن الأليم بس ن كاش بلوس يعني 
test_sample_3144_noisy,فول عمل مشان
test_sample_1663_clean,إزاي يخليك لينه يا بولي وميحرمنكاش منك أبدا
test_sample_1686_clean,حسصل الله نعم الوكيل
test_sample_3317_noisy,سمعت حبد كتير بس ف سن
test_sample_3772_noisy,بطهكده يا محمد 
test_sample_1018_clean,اللها ده بتاع الصعيد اللي هناك كنت أنا واقف مع وجدي
test_sample_3820_noisy,تيجي عمالكوا تاني اللي بالنسبه للمرتبات الحد الأدننا للأجور سبعميه و ستين يورو المفروض نقصب في عرميه وستين ميورو و لكن إنت لو شغال عند حد
test_sample_3139_noisy,
test_sample_3385_noisy,يقولك إن إنتي اللي مش
test_sample_1629_clean,وكذلي وإسمع كلم كويس أل الثوره اللي عملت منك الراجل
test_sample_1262_clean,يا سلام عل الإسم والله روبمنغرل
test_sample_3895_noisy,ن
test_sample_3565_noisy,شعارف
test_sample_3059_noisy,أنا عل فكره علشان بتكرار
test_sample_3209_noisy,بيعملوام مفول ملحول هنا بيعمل الفول الحب اللي بنالقدره أيواه المنظر ده
test_sample_3247_noisy,صره واحده سنه أه والله العظيم أقسم بالله ابسنه ميخدش من حمان حصوايه واحده
test_sample_3127_noisy,
test_sample_1050_clean,بهنجباتها
test_sample_1412_clean,إزاي إنت بتتكلم إزاي وو و هو ال التكفير ولا يجل مسلم أن يأن يكفر امسلم آخر وبتاع قدينا بنتكفل أه
test_sample_1572_clean,أقله لوحد
test_sample_3259_noisy,لمين من هنا يعني خالص أنا مخلتهش مل
test_sample_1054_clean,مش هيه أنا ناديرها
test_sample_1457_clean,أمن العجال ما أهلا  عمو تعليم كنا تعبان جسمه في حات مش هنا كدها زي الصعيد ده حينا كل سعمان يا ختال و كل عجربا تفهن مع حجها بتاعتها اصدوا معاها و نص طمنا و لا نظام مع بعضنا هشو بقالها و كبقه حبيننا من عمتها منعان حاجات بلا  عردها يبش فايا أبو كده منبه رح بعض رمسه لأحنر ي تعب مانا و الله نا باخ دق إيه في هوا أنا جلعت عميكي 
test_sample_3397_noisy,
test_sample_3277_noisy,هو اللي اجرب كله خد خوازين
test_sample_3265_noisy,البيت تتعملإيه معاك
test_sample_2924_noisy,البروم كان مهندس ورجل أعمال أنشأ خطوط في كات حديديه في دول كتير من العالم وجه مصر عن ألف تمنميه أربعه وتسعين علشان ينش أول ترام داخل القاهره
test_sample_2941_noisy,و إحنا كده في اليوم الإيه التهلت إن شاء الله
test_sample_3183_noisy,
test_sample_1290_clean,خلاص اتحسبان
test_sample_3220_noisy,كمت بتداع
test_sample_1436_clean,والله يا أستاذه مون العفش يعني العفش اليواده أنا عايز أربع شغر
test_sample_1331_clean,قالي طب و أنا أقول للست إيه قولتله لله ما نيجع علاقتي بير كوم
test_sample_3455_noisy,ماشي إحنا جيبنا السمك اضطرد بق يا جماعه لو إنت عارز تقعد و الحمام ما سايد هنحطه إن شاء الله يعني عادي
test_sample_1118_clean,بص يا أستاذ وال خلينا برضو نقول إن إحنا عايشين فتره أه طبيع الفتره لازم تبدع إنت شخص ذكي جدا متاخدش الكلوه عل صدر
test_sample_3832_noisy,أصل ليل دخلتها
test_sample_1481_clean, يعني عندنا مستشارين عندنا طيارين عندنا قضاه عندنا مفاروض ين
test_sample_3104_noisy,سعيد الهوا
test_sample_3759_noisy,نا اتعملت أجيه بصراحه فحصلك بسبب المشكله
test_sample_1175_clean,لا اشتري إنت
test_sample_1238_clean,أه
test_sample_1323_clean,ولبوه
test_sample_3724_noisy,حصل بق ما زال بس الصعب إن إنت بتاخدها تعديه ه المشكله في فيز السياحه في الغالب السفاره بترفض للعرب في المنطار بتترفض للعرب ثانيا في المطار الظابط لو شك في
test_sample_3695_noisy,سيا
test_sample_1697_clean,كانت ي حت ا جلب اللي مات ي حت الجلب اللي مات وعد يا ست البلاءت هفضل أحب من سكت وأشرب سجاي البره قضطك من سكت
test_sample_1198_clean,تم أه
test_sample_1603_clean,أعملها بس فيشر
test_sample_1082_clean,فرض العمليه فشلت
test_sample_3114_noisy,مش مهم الشعب يضر المهو المهم يحب إنزاي مش مهم الشكل
test_sample_1491_clean,والله بين البيع والشاري يفتح لر
test_sample_3281_noisy,مش هيجيب بدام حد
test_sample_3871_noisy,غير الليل
test_sample_3614_noisy,فيشهر عشره حداشر اتناشر واحد تمام
test_sample_1431_clean,الكابتن حمده ناصر اللعب المصري 
test_sample_1121_clean,هل الست هتغنينك قولتله لا هتغنيلي إيه قالي براحه
